Name;URL
Kitap radiosy;http://radio.tatmedia.com:8800/kitapfm
Saf radiosy;https://c7.radioboss.fm:18335/stream
Kyunel Radiosy;http://live.kunelradio.ru:8000/128.mp3
Kurai FM;http://av.bimradio.ru:8066/kurai_mp3
Yuldash (bashkirskoe radio);https://radio.mediacdn.ru/uldash.mp3
Radio Matur;http://radio.matur-tv.ru/radio/radio-mp3-128k
Vatan serdasy (krym tatar);http://91.214.128.125:64000/vatan
Ashqadar radiosy (Bashkortostan);http://radio.mediacdn.ru/ashkadar.mp3
Dulqyn radiosy;http://radio.tatmedia.com:8800/Saba
RadioTMK (Kazakhstan);http://a4.radioheart.ru:8036/RH13170
Tatarskaya pop muzyka;http://pub0101.101.ru:8000/stream/pro/aac/64/246
TatRadioTsentr;https://listen4.myradio24.com/trc
Belem radiosy;https://radiobelem.ru/belem128
Tartip FM (93.1) Kazan;https://radio.tatmedia.com:8443/tartipfm
Tatar radiosy;https://tatarradio.hostingradio.ru/tatarradio320.mp3
Bolgar radiosy;https://live.bolgarradio.com/b_aac_hifi.m3u8
Tatarstan Avazy;https://listen6.myradio24.com/gtrk
Roksana radiosy;https://listen1.myradio24.com/2761
Tatarskaya Narodnaya Muzyka;https://pub0302.101.ru:8000/stream/pro/aac/64/262
Atna teaty internet-radiosy;https://c2.radioboss.fm:18571/stream
TATARSTAN MADANIYATE;https://c20.radioboss.fm:8560/stream
Tavan radio (Chuvashskoe);http://icecast.ntrk21.ru:8000/tavan
Zhuldyz FM;http://91.201.214.229:8000/zhulduz
