Name;URL
Biznes FM Kazan;https://stream.volnorez.com/live-app/891608
Story FM Radio;https://stream02.pcradio.ru/storyru-med
Radio Fantastiki;http://fantasyradioru.no-ip.biz:8002/live
Harrys Magical Stories Radio;https://stream02.pcradio.ru/harry_potter-med
Strugatskie Radio;https://stream02.pcradio.ru/strugat_audioshows-med
Radio Antologiya;https://stream02.pcradio.ru/rad_rdantlgy-med
Literaturnoe Radio;https://79.137.234.183:8000/;stream.mp3
Radioteatr;https://stream02.pcradio.ru/rad_rtrclbrdttr-med
Radio «ZvukoKniga»;http://94.181.45.104:8005/;stream.nsv/
Umnoe Radio;https://umnoe.amgradio.ru/Umnoe
Radio Staryy Portfel;https://stream02.pcradio.ru/rad_oldportfl-med
Radio «Kniga»;http://bookradio.hostingradio.ru:8069/fm
Radio Klassik (russkaya poeziya);https://stream02.pcradio.ru/radioclassicfmrupoesia-med
Radio Kapriz (russkaya poeziya);https://stream.pcradio.ru/caprice_poetry-med
Radio «Skazka FM»;https://skazka.amgradio.ru/Skazka
Sci-Fi Old Time Radio;https://s1.voscast.com:8653/stream
America Old Time Radio;https://kea.cdnstream.com/1893_128
Krypton Radio;https://station.kryptonradio.com:8080/stream
America’s Old Time Radio Comedy Channel;https://hemnos.cdnstream.com/1666_32
Wild West OTR Channel;https://kea.cdnstream.com/1838_32
Old Time Tales;https://strw3.openstream.co/903
Crime Fighter Detectives Channel;https://hemnos.cdnstream.com/1665_32
Mystery And Suspense Radio;https://hemnos.cdnstream.com/1667_32
AudioBook Radio;https://audiobookradio.out.airtime.pro/audiobookradio_a
Yumor FM. Klassika Zhanra;http://pub0302.101.ru:8000/stream/pro/aac/64/21
Yumor FM. Non-Stop;http://pub0302.101.ru:8000/stream/trust/mp3/128/22
Yumor FM. Stendapy;https://pub0102.101.ru:8443/stream/pro/aac/64/245

