Name;URL
Onda Cero Madrid live;https://atres-live.ondacero.es/live/ondacero/bitrate_1.m3u8
Canal Fiesta Radio live;https://cdnlive.codev8.net/rtvalive/smil:channel5.smil/playlist.m3u8
FOX News Talk Radio;https://prod-3-86-26-249.amperwave.net/foxnewsradio-foxnewsradioaac-imc?session-id=e0486bf0236665ea2c3333451e21cf57
Bloomberg Radio;https://18863.live.streamtheworld.com/WBBRAMAAC.aac?dist=onlineradiobox
LBC Radio UK;https://media-ssl.musicradio.com/LBCLondon
TalkRADIO Radio UK;https://radio.talkradio.co.uk/stream
Times Radio UK;https://timesradio.wireless.radio/stream
BBC Radio 2;https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio=96000-270183254.ts
BBC World Service;https://stream.live.vc.bbcmedia.co.uk/bbc_world_service
Radio Svoboda;https://n0d.radiojar.com/hcrb063nn3quv?rj-ttl=5&rj-tok=AAABkrmoJHUAbBfvvQHLXexL1g
