Name;URL
Китап радиосы;http://radio.tatmedia.com:8800/kitapfm
Саф радиосы;https://c7.radioboss.fm:18335/stream
Күнел Радиосы;http://live.kunelradio.ru:8000/128.mp3
Курай ФМ;http://av.bimradio.ru:8066/kurai_mp3
Юлдаш (башкирское радио);https://radio.mediacdn.ru/uldash.mp3
Радио Матур;http://radio.matur-tv.ru/radio/radio-mp3-128k
Ватан сердасы (крым татар);http://91.214.128.125:64000/vatan
Ашҡаҙар радиоһы (Башҡортостан);http://radio.mediacdn.ru/ashkadar.mp3
Дулкын радиосы;http://radio.tatmedia.com:8800/Saba
РадиоТМК (Казахстан);http://a4.radioheart.ru:8036/RH13170
Татарская поп музыка;http://pub0101.101.ru:8000/stream/pro/aac/64/246
ТатРадиоЦентр;https://listen4.myradio24.com/trc
Белем радиосы;https://radiobelem.ru/belem128
Тәртип FM (93.1) Казань;https://radio.tatmedia.com:8443/tartipfm
Татарстан Радиосы (99.2) Казань;
Татар радиосы ;
Болгар радиосы;https://live.bolgarradio.com/b_aac_hifi.m3u8
;
Ретро Хит;http://retro.volna.top/Retro
Советская Классика (Русское радио);https://rr-sovclass.hostingradio.ru/sovclass96.aacp
Лихие 90-е (Русское радио);https://rr-90.hostingradio.ru/rr9096.aacp
Родные нулевые (Русское радио);https://rr-00.hostingradio.ru/rr0096.aacp
Звездатые Десятые (Русское радио);https://rr-10.hostingradio.ru/rr1096.aacp
Хайповые Двадцатые (Русское радио);https://rr-20.hostingradio.ru/rr2096.aacp
Русские Каверы (Русское радио);https://rr-covers.hostingradio.ru/rrcovers96.aacp
Русский Рок (Русское радио);https://rr-russkijrok.hostingradio.ru/russkijrok96.aacp
Детский Канал (Русское радио);https://rr-detskijkanal.hostingradio.ru/detskijkanal96.aacp
;
Радио 7 на семи холмах;
Энерджи Радио;http://ic5.101.ru:8000/v1_1
Детское радио (Дети ФМ);http://ic5.101.ru:8000/v14_1
Монте Карло;https://montecarlo.hostingradio.ru/montecarlo128.mp3
;
Пиратская Станция (радио Рекорд);https://radiorecord.hostingradio.ru/ps96.aacp
Чилаут (Wow Music);http://stream.vyshka24.ru/wowchillout
;
Бим Радио Казань;https://av.bimradio.ru/bim_mp3_128k
Дорожное радио (88,9 ФМ) Казань;https://hls-01-regions.emgsound.ru/15_kazan/playlist.m3u8
Русское радио (90.7) Казань;https://rusradio.hostingradio.ru/rusradio96.aacp
Юмор ФМ Казань;https://srv12.gpmradio.ru:8443/stream/air/aac/64/102
Студио21 (хип хоп) Казань ;https://hls.studio21.ru/studio21/playlist.m3u8
Бизнес ФМ Казань;https://stream.volnorez.com/live-app/891608
Наше радио (96.8) Казань;Наше радио (96.8) Казань
Радио Рекорд Казань;https://hls-01-radiorecord.hostingradio.ru/record/112/playlist.m3u8
Авторадио Казань;https://srv12.gpmradio.ru:8443/stream/reg/aac/64/region_avto_66
Релакс ФМ Казань;https://srv02.gpmradio.ru:8443/stream/reg/mp3/128/region_relax_9
Милицейская волна;https://radiomv.hostingradio.ru:80/radiomv128.mp3
Европа Плюс;https://hls-01-regions.emgsound.ru/11_kazan/playlist.m3u8
Миллениум (107.3) Казань;Миллениум (107.3) Казань
;
Старое радио;http://server.audiopedia.su:8000/ices64
Радио Фантастики;http://fantasyradioru.no-ip.biz:8002/live
;
Классические гитары (181 FM - Classical Guitar);http://listen.181fm.com:7080/181-classicalguitar_128k.mp3
Классик ФМ;http://cfm.jazzandclassic.ru:14536/rcstream.mp3
;
Юмор FM. Классика Жанра;http://pub0302.101.ru:8000/stream/pro/aac/64/21
Юмор FM. Non-Stop;http://pub0302.101.ru:8000/stream/trust/mp3/128/22
Юмор FM. Стендапы;https://pub0102.101.ru:8443/stream/pro/aac/64/245
;
Авторадио - Набережные Челны;https://srv12.gpmradio.ru:8443/stream/reg/mp3/128/region_avto_113
D FM Набережные Челны;
