Name;URL
Хайповые Двадцатые (Русское радио);https://rr-20.hostingradio.ru/rr2096.aacp
Русские Каверы (Русское радио);https://rr-covers.hostingradio.ru/rrcovers96.aacp
Русский Рок (Русское радио);https://rr-russkijrok.hostingradio.ru/russkijrok96.aacp
Радио 7 на семи холмах;https://hls-01-regions.emgsound.ru/13_msk/playlist.m3u8
Энерджи Радио;http://ic5.101.ru:8000/v1_1
Детское радио (Дети ФМ);http://ic5.101.ru:8000/v14_1
Детский Канал (Русское радио);https://rr-detskijkanal.hostingradio.ru/detskijkanal96.aacp
Детское радио (Старое радио);http://server.audiopedia.su:8000/detskoe128
Монте Карло;https://montecarlo.hostingradio.ru/montecarlo128.mp3
Радио Эрмитаж;https://hermitage.hostingradio.ru/hermitage128.mp3
Бим Радио Казань;https://av.bimradio.ru/bim_mp3_128k
Дорожное радио (88,9 ФМ) Казань;https://hls-01-regions.emgsound.ru/15_kazan/playlist.m3u8
Русское радио (90.7) Казань;https://rusradio.hostingradio.ru/rusradio96.aacp
Юмор ФМ Казань;https://srv12.gpmradio.ru:8443/stream/air/aac/64/102
Студио21 (хип хоп) Казань ;https://hls.studio21.ru/studio21/playlist.m3u8
Наше радио (96.8) Казань;https://nashe1.hostingradio.ru:80/nashe-128.mp3
Радио Рекорд Казань;https://hls-01-radiorecord.hostingradio.ru/record/112/playlist.m3u8
Авторадио Казань;https://srv21.gpmradio.ru:8443/stream/air/aac/64/100
Релакс ФМ Казань;https://srv02.gpmradio.ru:8443/stream/reg/mp3/128/region_relax_9
Милицейская волна;https://radiomv.hostingradio.ru:80/radiomv128.mp3
Европа Плюс;https://hls-01-regions.emgsound.ru/11_kazan/playlist.m3u8
D FM;https://dfm.hostingradio.ru/dfm96.aacp
Радио Шансон (89.7) Казань  ;https://online2.gkvr.ru:8001/chanson_kaz_64.aac
Радио Гордость (97.2) Казань ;https://rgordost.hostingradio.ru/rgordost128.aacp
Радио Love (107.8) Казань ;https://stream2.n340.com/12_love_64_reg_44?type=aac&UID=8EE86F9F7653C544191435A1D5C33263
Пиратская Станция (радио Рекорд);https://radiorecord.hostingradio.ru/ps96.aacp
Чилаут (Wow Music);http://stream.vyshka24.ru/wowchillout
