Name;URL

Китап Radiosi;http://radio.tatmedia.com:8800/kitapfm
Saf Radiosi;https://c7.radioboss.fm:18335/stream
Күнел Радиосы;http://live.kunelradio.ru:8000/128.mp3
Курай ФМ;http://av.bimradio.ru:8066/kurai_mp3
Юлдаш (башкирское радио);https://radio.mediacdn.ru/uldash.mp3
Радио Матур;http://radio.matur-tv.ru/radio/radio-mp3-128k
Ватан сердасы (крым татар);http://91.214.128.125:64000/vatan
Ашҡаҙар радиоһы (Башҡортостан);http://radio.mediacdn.ru/ashkadar.mp3
Дулкын радиосы;http://radio.tatmedia.com:8800/Saba
РадиоТМК (Казахстан);http://a4.radioheart.ru:8036/RH13170
Татарская поп музыка;http://pub0101.101.ru:8000/stream/pro/aac/64/246
ТатРадиоЦентр;https://listen4.myradio24.com/trc
Белем радиосы;https://radiobelem.ru/belem128
Ретро Хит;http://retro.volna.top/Retro
Радио 7 на семи холмах;Радио 7 на семи холмах
Энерджи Радио (NRG Radio);http://ic5.101.ru:8000/v1_1
Детское радио (Дети ФМ);http://ic5.101.ru:8000/v14_1
Монте Карло;https://montecarlo.hostingradio.ru/montecarlo128.mp3
Классик ФМ;http://cfm.jazzandclassic.ru:14536/rcstream.mp3
ЭлектроСтанция;https://stream.161.fm:9001/320
Пиратская Станция (радио Рекорд);https://radiorecord.hostingradio.ru/ps96.aacp
Chillout (Wow Music);http://stream.vyshka24.ru/wowchillout
Классические гитары (181 FM - Classical Guitar);http://listen.181fm.com:7080/181-classicalguitar_128k.mp3
Бим Радио Казань;https://av.bimradio.ru/bim_mp3_128k
Старое радио;http://server.audiopedia.su:8000/ices64
Радио Фантастики;http://fantasyradioru.no-ip.biz:8002/live
